Pokémon,Dex #,Move,Level,Recoil Type
Abomasnow,460,Wood Hammer,1,1/3 damage
Accelgor,617,Final Gambit,56,User faints
Aggron,306,Take Down,29,1/4 damage
Aggron,306,Double-Edge,63,1/3 damage
Alomomola,594,Healing Wish,57,User faints
Amaura,698,Take Down,26,1/4 damage
Arcanine,59,Flare Blitz,1,1/3 damage
Archen,566,Double-Edge,48,1/3 damage
Archeops,567,Double-Edge,51,1/3 damage
Aromatisse,683,Healing Wish,57,User faints
Aron,304,Take Down,29,1/4 damage
Aron,304,Double-Edge,50,1/3 damage
Audino,531,Healing Wish,50,User faints
Aurorus,699,Take Down,26,1/4 damage
Avalugg,713,Take Down,30,1/4 damage
Avalugg,713,Double-Edge,46,1/3 damage
Bagon,371,Head Smash,46,1/2 damage
Baltoy,343,Self-Destruct,31,User faints
Basculin,550,Memento,34,User faints
Basculin,550,Head Smash,46,1/2 damage
Basculin,550,Final Gambit,50,User faints
Bastiodon,411,Take Down,19,1/4 damage
Beartic,614,Double-Edge,45,1/3 damage
Beldum,374,Take Down,20,1/4 damage
Bergmite,712,Take Down,30,1/4 damage
Bergmite,712,Double-Edge,43,1/3 damage
Blissey,242,Healing Wish,46,User faints
Blitzle,522,Take Down,25,1/4 damage
Blitzle,522,Wild Charge,36,1/4 damage
Boldore,525,Explosion,48,User faints
Bouffalant,626,Take Down,31,1/4 damage
Bouffalant,626,Head Charge,50,1/4 damage
Bouffalant,626,Double-Edge,56,1/3 damage
Braviary,628,Brave Bird,57,1/3 damage
Camerupt,323,Take Down,29,1/4 damage
Camerupt,323,Double-Edge,46,1/3 damage
Carracosta,565,Take Down,28,1/4 damage
Chandelure,609,Memento,1,User faints
Chansey,113,Healing Wish,46,User faints
Chesnaught,652,Take Down,41,1/4 damage
Chespin,650,Take Down,35,1/4 damage
Chimecho,358,Healing Wish,46,User faints
Claydol,344,Self-Destruct,31,User faints
Claydol,344,Explosion,45,User faints
Conkeldurr,534,Submission,37,1/4 damage
Cottonee,546,Memento,46,User faints
Cranidos,408,Take Down,19,1/4 damage
Cranidos,408,Double-Edge,43,1/3 damage
Cranidos,408,Head Smash,46,1/2 damage
Crobat,169,Brave Bird,51,1/3 damage
Cubchoo,613,Double-Edge,41,1/3 damage
Cubone,104,Take Down,27,1/4 damage
Cubone,104,Double-Edge,43,1/3 damage
Cyndaquil,155,Take Down,31,1/4 damage
Cyndaquil,155,Double-Edge,46,1/3 damage
Cyndaquil,155,Flare Blitz,49,1/3 damage
Darmanitan,555,Flare Blitz,33,1/3 damage
Darumaka,554,Flare Blitz,33,1/3 damage
Deerling,585,Take Down,24,1/4 damage
Deerling,585,Double-Edge,37,1/3 damage
Dewgong,87,Take Down,31,1/4 damage
Dewgong,87,Double-Edge,47,1/3 damage
Dodrio,85,Brave Bird,50,1/3 damage
Doduo,84,Brave Bird,45,1/3 damage
Donphan,232,Take Down,31,1/4 damage
Donphan,232,Double-Edge,46,1/3 damage
Drifblim,426,Explosion,50,User faints
Drifloon,425,Explosion,44,User faints
Drilbur,529,Submission,33,1/4 damage
Eevee,133,Take Down,29,1/4 damage
Eevee,133,Double-Edge,37,1/3 damage
Electrode,101,Self-Destruct,22,User faints
Electrode,101,Explosion,36,User faints
Emboar,500,Take Down,28,1/4 damage
Emboar,500,Flare Blitz,50,1/3 damage
Emolga,587,Wild Charge,50,1/4 damage
Entei,244,Flare Blitz,78,1/3 damage
Excadrill,530,Submission,33,1/4 damage
Exeggutor,103,Wood Hammer,47,1/3 damage
Exploud,295,Take Down,32,1/4 damage
Farfetch'd,83,Brave Bird,49,1/3 damage
Fearow,22,Take Down,29,1/4 damage
Ferroseed,597,Self-Destruct,35,User faints
Ferroseed,597,Explosion,52,User faints
Ferrothorn,598,Explosion,1,User faints
Flareon,136,Flare Blitz,71,1/3 damage
Fletchinder,662,Flare Blitz,46,1/3 damage
Forretress,205,Self-Destruct,1,User faints
Forretress,205,Explosion,46,User faints
Furfrou,676,Take Down,33,1/4 damage
Gardevoir,282,Healing Wish,53,User faints
Geodude,74,Take Down,15,1/4 damage
Geodude,74,Self-Destruct,19,User faints
Geodude,74,Double-Edge,31,1/3 damage
Geodude,74,Explosion,35,User faints
Gigalith,526,Explosion,48,User faints
Girafarig,203,Take Down,32,1/4 damage
Girafarig,203,Double-Edge,46,1/3 damage
Glalie,362,Self-Destruct,51,User faints
Glalie,362,Explosion,59,User faints
Gogoat,673,Take Down,26,1/4 damage
